id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
867d6a0d91738dc00b627b20325d0b39,krakow,,41.0,2.0,,,,50.0991,19.9824,5.79,1.0,1.121,1.977,0.746,0.47,0.532,1.611,0.766,condominium,,,no,no,,no,no,2800
d4e662ceddf3232a5c9fc40af68c7e1c,krakow,apartmentBuilding,26.0,1.0,1.0,3.0,2020.0,50.046132,19.949015,1.27,53.0,0.081,0.503,0.213,0.649,0.056,0.76,0.092,condominium,brick,,no,no,yes,no,no,2400
981cfb18317f4c0dff3115f0a30dff52,krakow,apartmentBuilding,53.0,2.0,2.0,5.0,2014.0,50.01786075,19.99237037,5.67,11.0,0.295,0.888,0.446,0.418,0.071,2.352,0.432,condominium,brick,premium,yes,yes,yes,no,no,2500
e71c1df790561c01f9d4a475acdda8e2,krakow,blockOfFlats,35.0,1.0,,4.0,1980.0,50.09379,19.9675,4.76,7.0,0.305,0.785,0.483,0.251,0.379,2.516,0.471,condominium,concreteSlab,,no,yes,no,no,no,1800
5756304360386cffca64736eecee5852,krakow,tenement,50.0,2.0,2.0,2.0,,50.067,19.9533,1.68,37.0,0.063,0.274,0.247,0.715,0.076,0.666,0.243,condominium,brick,,no,no,no,no,no,2900
c37e4d882a19f9208eba9d5372f6093e,krakow,tenement,107.04,5.0,1.0,3.0,1939.0,50.052592,19.9140193,1.77,8.0,0.22,0.44,0.242,0.749,0.599,0.383,0.324,condominium,brick,premium,no,yes,no,no,yes,5000
43529522756fc2fd1f7d4d5552909c11,krakow,blockOfFlats,60.0,3.0,4.0,4.0,1970.0,50.0607363,19.97988,3.02,11.0,0.19,0.91,0.361,0.183,0.406,1.357,0.332,condominium,,,no,yes,no,no,no,3000
615eaed45ae1bf5e42eaf2e8c8040b2c,krakow,tenement,115.89,4.0,4.0,4.0,,50.0625478,19.930246,1.0,119.0,0.101,0.365,0.388,0.226,0.091,0.306,0.058,condominium,brick,,no,yes,no,no,no,5500
3b1662259624b89ae619031b78a14bcf,krakow,blockOfFlats,38.0,2.0,2.0,10.0,2003.0,50.0666362,19.9751941,2.91,8.0,0.509,0.668,0.269,0.438,0.277,0.975,0.654,condominium,,,no,yes,yes,no,no,2000
394504f3c5dcf36d2ad6f593fbb64fcf,krakow,blockOfFlats,69.5,3.0,3.0,4.0,1970.0,50.0729135,19.92123271,2.31,27.0,0.06,0.301,0.164,0.207,0.1,0.375,0.208,condominium,,premium,yes,yes,no,no,no,3700
098f9127ad7565f80f20167e5ce98d12,krakow,apartmentBuilding,50.21,3.0,5.0,5.0,2021.0,50.0713956,19.954938,2.14,14.0,0.444,0.328,0.414,0.4,0.252,0.899,0.174,condominium,brick,premium,yes,yes,yes,yes,yes,4300
7cf8da5aa75cf1245d7853f88bef9c04,krakow,apartmentBuilding,32.0,2.0,3.0,5.0,2021.0,50.0674144,19.9031553,2.86,17.0,0.363,0.323,0.347,0.199,0.232,0.854,0.341,condominium,brick,premium,yes,yes,yes,no,yes,2600
a24963cb2fae015a4281e1764ba74cbf,krakow,tenement,42.0,2.0,1.0,4.0,,50.05263,19.94957,0.85,106.0,0.208,0.729,0.079,0.38,0.015,0.452,0.096,condominium,brick,,yes,no,no,no,no,3400
662269342b85da86de07b1f81972325c,krakow,blockOfFlats,110.0,4.0,4.0,5.0,2008.0,50.0705545,19.9274045,1.87,35.0,0.31,0.334,0.242,0.355,0.134,0.453,0.139,condominium,brick,,no,no,yes,no,no,6900
90cc65f085016974a07840b1e640deef,krakow,blockOfFlats,44.0,2.0,,4.0,2021.0,50.08264964,19.96440726,3.56,11.0,0.121,0.293,0.193,0.042,0.154,2.009,0.182,condominium,,,no,no,yes,no,yes,2600
7172b9854df964b189e02e35327b9a09,krakow,apartmentBuilding,60.9,3.0,3.0,4.0,,50.0548835,19.9587635,1.45,15.0,0.227,0.266,0.551,0.15,0.243,0.299,0.228,condominium,brick,premium,yes,no,yes,no,no,5700
4a1132b4a71ac9d197b69cf04485dfd5,krakow,,42.0,2.0,3.0,6.0,2008.0,50.08979,19.96182,4.18,13.0,0.648,0.471,0.226,0.324,0.216,2.38,0.252,condominium,,,no,no,no,no,no,2600
f57c784895424798ad9d4f4c2e6035b8,krakow,tenement,56.0,2.0,1.0,2.0,1890.0,50.0484457,19.9442467,0.87,118.0,0.233,0.198,0.457,0.266,0.027,0.384,0.099,condominium,brick,premium,no,no,no,no,no,3600
3fa25b0d6d651404952990fee2ed752a,krakow,blockOfFlats,38.0,2.0,1.0,6.0,2015.0,50.0105051,19.9648826,5.33,14.0,0.506,0.541,0.166,0.045,0.036,0.671,0.213,condominium,,,yes,yes,yes,yes,no,2000
e7836ff9aadf69d3721f3d2db2f7fe3c,krakow,blockOfFlats,36.2,2.0,4.0,4.0,1985.0,50.013765,20.006436,6.7,22.0,0.205,0.39,0.293,0.056,0.195,2.621,0.21,condominium,concreteSlab,,no,yes,no,no,yes,2000
52dad8e39fb7bfb3dfca8e5f8415c928,krakow,blockOfFlats,54.0,3.0,3.0,3.0,2002.0,50.0654746,19.9335347,1.18,143.0,0.172,0.095,0.013,0.308,0.172,0.152,0.157,condominium,,,no,no,no,yes,no,3600
3a458a2c30b8970df344fcef97a6f32e,krakow,blockOfFlats,51.0,2.0,2.0,2.0,,50.0746189,19.9032752,3.3,18.0,0.233,0.562,0.464,0.08,0.225,0.637,0.226,condominium,,premium,yes,yes,no,no,no,2400
8c0a9b1bd1f382edfaf4e8226a3c9089,krakow,blockOfFlats,36.0,2.0,2.0,6.0,2018.0,50.0591684,19.9704503,2.33,13.0,0.613,0.387,0.386,0.361,0.276,0.864,0.298,condominium,,premium,yes,yes,yes,no,no,2600
892c0e0d29b7c7e4cba63765a6aad01a,krakow,,65.0,3.0,3.0,3.0,,50.059794,19.9480953,0.85,52.0,0.172,0.178,0.315,0.4,0.085,0.699,0.097,condominium,,,no,no,,no,no,4000
